frame,timestamp,personas
1554,51.8,-471.24
1556,51.867,-471.24
1558,51.933,-471.24
1560,52.0,-471.16
1562,52.067,-471.16
1564,52.133,-471.2
1566,52.2,-471.24
1568,52.267,-471.25
1570,52.333,-471.26
1572,52.4,-471.18
1574,52.467,-471.27
1576,52.533,-471.24
1578,52.6,-471.26
1580,52.667,-471.27
1582,52.733,-471.24
1584,52.8,-471.21
1586,52.867,-471.25
1588,52.933,-471.29
1590,53.0,-471.26
1592,53.067,-471.21
1594,53.133,-471.25
1596,53.2,-471.25
1598,53.267,-471.25
1600,53.333,-471.27
1602,53.4,-471.24
1604,53.467,-471.29
1606,53.533,-471.28
1608,53.6,-471.26
1610,53.667,-471.33
1612,53.733,-471.34
1614,53.8,-471.31
1616,53.867,-471.37
1618,53.933,-471.34
1620,54.0,-471.35
1622,54.067,-471.32
1624,54.133,-471.3
1626,54.2,-471.33
1628,54.267,-471.28
1630,54.333,-471.29
1632,54.4,-471.34
1634,54.467,-471.3
1636,54.533,-471.35
1638,54.6,-471.34
1640,54.667,-471.41
1642,54.733,-471.46
1644,54.8,-471.43
1646,54.867,-471.35
1648,54.933,-471.55
1650,55.0,-471.39
1652,55.067,-471.43
1654,55.133,-471.33
1656,55.2,-471.28
1658,55.267,-471.3
1660,55.333,-471.35
1662,55.4,-471.32
1664,55.467,-471.39
1666,55.533,-471.47
1668,55.6,-471.41
1670,55.667,-471.5
1672,55.733,-471.25
1674,55.8,-471.4
1676,55.867,-471.44
1678,55.933,-471.43
1680,56.0,-471.19
1682,56.067,-471.34
1684,56.133,-471.32
1686,56.2,-471.25
1688,56.267,-471.32
1690,56.333,-471.21
1692,56.4,-471.23
1694,56.467,-471.31
1696,56.533,-471.27
1698,56.6,-471.31
1700,56.667,-471.27
1702,56.733,-471.42
1704,56.8,-471.46
1706,56.867,-471.56
1708,56.933,-471.6
1710,57.0,-471.6
1712,57.067,-471.54
1714,57.133,-471.56
1716,57.2,-471.49
1718,57.267,-471.48
1720,57.333,-471.48
1722,57.4,-471.41
